protein_name_1,protein_name_2,protein_id_1,protein_id_2,discovery date
POTEE,FMR1,101493,101758,5/13/2014
DCP2,ABCE1,111067,111512,5/13/2014
CEP78,PASK,100982,109730,5/13/2014
POP1,CSNK2A1,109292,110721,5/13/2014
DCP2,GLUD1,111067,114281,5/13/2014
GPRASP2,CCDC59,102376,104890,5/13/2014
PASK,AGO2,109730,109001,5/13/2014
DCP2,SLC25A10,111067,114388,5/13/2014
DROSHA,HNRNPAB,109251,107715,5/13/2014
TRMT1,AGO2,109227,109001,5/13/2014
CNOT2,RNF219,103872,103899,5/13/2014
ZNF622,NMD3,109522,101777,5/13/2014
LARP7,LIN28B,112041,105515,5/13/2014
ADARB2,PSME3,103842,104090,5/13/2014
LIN28B,SNRPF,105515,109611,5/13/2014
DCP1A,BAG4,100498,110877,5/13/2014
FTSJ3,SET,100905,112625,5/13/2014
KLHL29,SFXN2,104637,115329,5/13/2014
GPRASP2,TMEM43,102376,105108,5/13/2014
LIN28B,RALY,105515,106390,5/13/2014
ZNF346,NOA1,114992,107647,5/13/2014
TAF6L,PASK,102857,109730,5/13/2014
BRIX1,ZNF622,107420,109522,5/13/2014
EBNA1BP2,ZNF622,102434,109522,5/13/2014
PASK,ZNF628,109730,113396,5/13/2014
CAPN2,DCP2,100767,111067,5/13/2014
EIF6,GTPBP4,116039,108711,5/13/2014
INTS7,DCP2,113158,111067,5/13/2014
NIFK,LIN28B,115461,105515,5/13/2014
PNPLA6,GPRASP2,101198,102376,5/13/2014
EIF2B4,DCP1A,104532,100498,5/13/2014
ADARB1,MMTAG2,114577,107949,5/13/2014
RRS1,ADARB1,105709,114577,5/13/2014
ZNF346,BRIX1,114992,107420,5/13/2014
TRIM65,TNRC6A,109120,112710,5/13/2014
STAU1,GTPBP4,110291,108711,5/13/2014
U2SURP,DROSHA,116509,109251,5/13/2014
PASK,ZBTB21,109730,110474,5/13/2014
DDX6,LSM12,103960,115570,5/13/2014
POP1,MOV10,109292,115103,5/13/2014
GTPBP2,DCP2,111211,111067,5/13/2014
GPRASP2,GPRASP1,102376,115909,5/13/2014
DROSHA,YLPM1,109251,111453,5/13/2014
CNOT1,RNF219,102149,103899,5/13/2014
CPS1,AGO2,113971,109001,5/13/2014
LIN28B,SNRPA,105515,112338,5/13/2014
ADARB1,NIFK,114577,115461,5/13/2014
DCP2,GGCX,111067,115929,5/13/2014
MMTAG2,ZNF622,107949,109522,5/13/2014
ZNF622,HECTD1,109522,103070,5/13/2014
AZGP1,GTPBP4,100887,108711,5/13/2014
SORL1,POP1,114001,109292,5/13/2014
DGCR8,CDKN2A,109725,108570,5/13/2014
AGO2,RNF219,109001,103899,5/13/2014
PHAX,LIN28B,106249,105515,5/13/2014
GTPBP4,DICER1,108711,103514,5/13/2014
EIF6,ZNF622,116039,109522,5/13/2014
DCP2,FBXO3,111067,107202,5/13/2014
PGM3,DCP2,102865,111067,5/13/2014
AGO2,CEP170,109001,111686,5/13/2014
DCP2,IDE,111067,115086,5/13/2014
GTPBP4,IFRD1,108711,106672,5/13/2014
GLTSCR2,EIF6,100186,116039,5/13/2014
QPCTL,DCP2,104293,111067,5/13/2014
AP1G1,GPRASP2,107054,102376,5/13/2014
POP7,POP1,107468,109292,5/13/2014
MOV10,UPF1,115103,105734,5/13/2014
ADARB1,STRBP,114577,105867,5/13/2014
DCP2,POLD3,111067,105705,5/13/2014
TCF25,GPRASP2,114360,102376,5/13/2014
KLHL29,QPCTL,104637,104293,5/13/2014
LIN28B,TRUB2,105515,109565,5/13/2014
POP1,TCEB1,109292,110369,5/13/2014
DROSHA,LGALS3BP,109251,110722,5/13/2014
UPF1,STAU2,105734,113356,5/13/2014
BYSL,FTSJ3,109216,100905,5/13/2014
GPRASP2,COPE,102376,111109,5/13/2014
CPSF6,FXR2,105811,108518,5/13/2014
POP1,SIRT1,109292,109876,5/13/2014
NOC3L,ZNF622,115866,109522,5/13/2014
POP1,GTPBP4,109292,108711,5/13/2014
PASK,MAP7,109730,100507,5/13/2014
AGO2,DCAF7,109001,106581,5/13/2014
PPM1G,POP1,106707,109292,5/13/2014
PASK,PRR14L,109730,110727,5/13/2014
DCP2,SQSTM1,111067,109751,5/13/2014
KLHL29,AGO2,104637,109001,5/13/2014
DNAJC21,ZNF622,104378,109522,5/13/2014
AGO1,PASK,111253,109730,5/13/2014
EBNA1BP2,POP1,102434,109292,5/13/2014
RNF219,MAP7,103899,100507,5/13/2014
RAF1,GPRASP2,103651,102376,5/13/2014
GTF3C2,PASK,104369,109730,5/13/2014
LIN28B,ELAVL2,105515,109510,5/13/2014
GPRASP2,CCDC8,102376,107815,5/13/2014
POP1,DICER1,109292,103514,5/13/2014
DROSHA,KLHL12,109251,100355,5/13/2014
LIN28B,ZCCHC3,105515,114534,5/13/2014
ANGEL2,DCP2,109172,111067,5/13/2014
RNF219,TNKS1BP1,103899,103141,5/13/2014
FTSJ3,TSR1,100905,115265,5/13/2014
DDX6,FAM195B,103960,115793,5/13/2014
SSR3,KLHL29,103418,104637,5/13/2014
TNRC6C,HNRNPUL2,111359,103451,5/13/2014
DICER1,STAU2,103514,113356,5/13/2014
STAU1,ZNF622,110291,109522,5/13/2014
MEPCE,SNRPB2,106632,111910,5/13/2014
PPFIA1,DROSHA,110569,109251,5/13/2014
TDRD3,KCTD2,105430,111197,5/13/2014
DNAJB12,KLHL29,104922,104637,5/13/2014
NOP16,ADARB1,103027,114577,5/13/2014
GPRASP2,ASPM,102376,109447,5/13/2014
ZNF346,CCDC124,114992,104638,5/13/2014
FXR2,CPSF7,108518,112532,5/13/2014
PSME3,GTPBP4,104090,108711,5/13/2014
PPP2CA,ZNF346,113865,114992,5/13/2014
KANK2,DCP1A,115592,100498,5/13/2014
BAG4,DCP1B,110877,109333,5/13/2014
ZNF346,NCBP1,114992,100070,5/13/2014
SMURF1,UBE2M,115101,102662,5/13/2014
C7ORF50,ADARB1,114209,114577,5/13/2014
PURB,LIN28B,112922,105515,5/13/2014
AASS,DCP1A,110753,100498,5/13/2014
GFPT2,DCP2,113930,111067,5/13/2014
ZNF346,SNRPG,114992,109609,5/13/2014
GPRASP2,AP1M1,102376,115168,5/13/2014
FXR2,NUDT21,108518,111009,5/13/2014
AGO2,CBWD2,109001,111237,5/13/2014
DROSHA,SKIV2L2,109251,107709,5/13/2014
FAM120A,PASK,105662,109730,5/13/2014
STX3,STXBP1,107880,109053,5/15/2014
MET,CRK,109976,114441,5/15/2014
MAVS,SMURF2,105814,104677,5/15/2014
RNF8,NEDD8,110969,115957,5/15/2014
STX2,SYTL4,102266,100740,5/15/2014
STX3,SYTL4,107880,100740,5/15/2014
NMRAL1,IKBKG,108225,115195,5/15/2014
NEDD8,RNF2,115957,102894,5/15/2014
NEDD8,RNF168,115957,106259,5/15/2014
SHFM1,UBQLN4,100918,109252,5/16/2014
RNF126,SHFM1,104618,100918,5/16/2014
SHFM1,UBR1,100918,101442,5/16/2014
VCP,SHFM1,111658,100918,5/16/2014
SHFM1,UFD1L,100918,100936,5/16/2014
SHFM1,UBE2G2,100918,102334,5/16/2014
SHFM1,BAG6,100918,113717,5/16/2014
SHFM1,NEDD8,100918,115957,5/16/2014
ESPL1,CCNB1,106918,100670,5/16/2014
SHFM1,UBR4,100918,112745,5/16/2014
SHFM1,UBE3B,100918,108092,5/16/2014
SHFM1,UBFD1,100918,115469,5/16/2014
PRRC2A,SHFM1,109766,100918,5/16/2014
SHFM1,UBQLN2,100918,108723,5/16/2014
SHFM1,STUB1,100918,100319,5/16/2014
SHFM1,UBLCP1,100918,109872,5/16/2014
SHFM1,PSME1,100918,113942,5/16/2014
PTTG1,CAMK2A,115014,102659,5/16/2014
UCHL5,SHFM1,109896,100918,5/16/2014
ESPL1,PPP2CA,106918,113865,5/16/2014
SHFM1,HECTD1,100918,103070,5/16/2014
SHFM1,UBR5,100918,113900,5/16/2014
SHFM1,FBXO7,100918,112763,5/16/2014
SHFM1,ECM29,100918,115602,5/16/2014
UBE3C,SHFM1,101808,100918,5/16/2014
USP7,SHFM1,110519,100918,5/16/2014
SHFM1,UBA7,100918,112363,5/16/2014
SHFM1,PSMG1,100918,114033,5/16/2014
SHFM1,PSMD9,100918,104895,5/16/2014
SHFM1,NSFL1C,100918,106613,5/16/2014
SHFM1,UBE2I,100918,105209,5/16/2014
CUL4B,SHFM1,107583,100918,5/16/2014
SHFM1,BAG2,100918,115498,5/16/2014
SHFM1,LTN1,100918,102594,5/16/2014
SHFM1,PSME2,100918,114988,5/16/2014
SHFM1,USP14,100918,110868,5/16/2014
SHFM1,6-Mar,100918,103522,5/16/2014
SHFM1,NUB1,100918,100155,5/16/2014
SHFM1,PRRC2C,100918,111425,5/16/2014
SHFM1,CUL1,100918,111823,5/16/2014
SHFM1,TXNL1,100918,113434,5/16/2014
SHFM1,PSMG3,100918,106820,5/16/2014
SHFM1,BAG1,100918,105765,5/16/2014
SHFM1,CUL2,100918,111824,5/16/2014
SHFM1,PSME3,100918,104090,5/16/2014
UBQLN1,SHFM1,109087,100918,5/16/2014
SHFM1,RNF219,100918,103899,5/16/2014
SHFM1,PAAF1,100918,102710,5/16/2014
SHFM1,RAD23B,100918,105782,5/16/2014
SHFM1,PSME4,100918,101220,5/16/2014
SHFM1,RNF181,100918,104242,5/16/2014
SHFM1,UBE3A,100918,109720,5/16/2014
ESPL1,PPP2R1B,106918,115271,5/16/2014
SHFM1,PSMF1,100918,112369,5/16/2014
SHFM1,DDX39B,100918,100037,5/16/2014
SHFM1,USP38,100918,104085,5/16/2014
SHFM1,USP15,100918,104505,5/16/2014
PPP2R1A,ESPL1,115272,106918,5/16/2014
PPP2R5A,ESPL1,112608,106918,5/16/2014
SHFM1,PSMG2,100918,102073,5/16/2014
SHFM1,ZFAND2B,100918,110856,5/16/2014
SUMO2,SHFM1,102300,100918,5/16/2014
SHFM1,POMP,100918,102737,5/16/2014
SHFM1,ADRM1,100918,114638,5/16/2014
HUWE1,SHFM1,105701,100918,5/16/2014
SHFM1,PSMC2,100918,100924,5/16/2014
PTTG1,PPP2R5A,115014,112608,5/16/2014
SHFM1,UBL4A,100918,112228,5/16/2014
SHFM1,UBR7,100918,109271,5/16/2014
YAP1,FBXW7,108147,104634,5/17/2014
CORO7,ZRANB1,106528,101685,5/22/2014
ISG15,PCNA,111242,111379,5/22/2014
RBP5,HIST3H3,103652,115562,5/22/2014
PCNA,USP10,111379,115556,5/22/2014
PCNA,TRIM25,111379,104818,5/22/2014
CORO7,EPS15,106528,100627,5/22/2014
KLHL20,CORO7,116017,106528,5/22/2014
CORO7,ACTB,106528,112552,5/22/2014
CORO7,JUN,106528,100991,5/22/2014
PARP9,PARP1,110456,113437,5/27/2014
PARP9,PARP14,110456,112438,5/27/2014
IKBKE,CD209,101861,101382,5/28/2014
ITCH,ATXN3,109215,101287,5/28/2014
CD209,LSP1,101382,105228,5/28/2014
CD209,CYLD,101382,111118,5/28/2014
ASNA1,VAPB,112819,114352,5/29/2014
VAPA,RAB3GAP1,100219,109932,5/29/2014
VCP,VAPB,111658,114352,5/29/2014
VAPA,RAB3GAP2,100219,100586,5/29/2014
OSBP2,VAPB,113812,114352,5/29/2014
OSBP,VAPB,113324,114352,5/29/2014
CCNY,CUL1,105942,111823,5/29/2014
OSBPL10,VAPB,108547,114352,5/29/2014
FAF1,UBL4A,111986,112228,5/29/2014
OSBPL11,VAPB,108546,114352,5/29/2014
VCP,VAPA,111658,100219,5/29/2014
BAG6,FAF1,113717,111986,5/29/2014
VAPB,RAB3GAP1,114352,109932,5/29/2014
VAPA,FAF1,100219,111986,5/29/2014
BAG6,VAPB,113717,114352,5/29/2014
ASNA1,BAG6,112819,113717,5/29/2014
VAPB,RPN2,114352,111639,5/29/2014
TRAF6,OTUD7A,113106,100485,5/29/2014
FAF1,RPN2,111986,111639,5/29/2014
RAB3GAP1,RAB3GAP2,109932,100586,5/29/2014
VAPB,DDOST,114352,103147,5/29/2014
VAPB,FAF1,114352,111986,5/29/2014
FAF1,ASNA1,111986,112819,5/29/2014
VAPB,RAB3GAP2,114352,100586,5/29/2014
DDOST,FAF1,103147,111986,5/29/2014
CUL1,DAB2IP,111823,103465,5/30/2014
CUL4A,DAB2IP,111816,103465,5/30/2014
SMAD2,GLI1,111220,102080,5/30/2014
SMAD4,GLI1,101994,102080,5/30/2014
FBXW7,DAB2IP,104634,103465,5/30/2014
DAB2IP,RBX1,103465,105264,5/30/2014
DAB2IP,SKP1,103465,100881,5/30/2014
KAT2B,GLI1,108390,102080,5/30/2014
HIST1H4A; HIST1H4B; HIST1H4C; HIST1H4D; HIST1H4E; HIST1H4F; HIST1H4H; HIST1H4I; HIST1H4J; HIST1H4K; HIST1H4L; HIST2H4A; HIST2H4B; HIST4H4,OBSL1,108386,108161,6/1/2014
G6PD,MDM2,100557,106304,6/1/2014
CUL7,RIF1,107170,115997,6/1/2014
CUL7,CALR,107170,102746,6/1/2014
KRT16,CCDC8,116396,107815,6/1/2014
GNB2L1,CUL7,101461,107170,6/1/2014
ALYREF,MDM2,109128,106304,6/1/2014
MDM2,PPIF,106304,108201,6/1/2014
OBSL1,NUP188,108161,114693,6/1/2014
CCDC8,MTDH,107815,100928,6/1/2014
SUPT16H,CUL7,104393,107170,6/1/2014
CCDC8,RAB14,107815,111466,6/1/2014
MDM2,IDH2,106304,107076,6/1/2014
CUL7,DDX3X,107170,113652,6/1/2014
OBSL1,KRT86,108161,101157,6/1/2014
CUL7,RPS10,107170,106433,6/1/2014
ZC3H14,CCDC8,102981,107815,6/1/2014
MDM2,TFRC,106304,109239,6/1/2014
FLNA,CCDC8,114806,107815,6/1/2014
CCDC8,CEP350,107815,111972,6/1/2014
OBSL1,BRIX1,108161,107420,6/1/2014
PHLDB1,CCDC8,115170,107815,6/1/2014
DHX15,OBSL1,101422,108161,6/1/2014
HSP90B1,CCDC8,104999,107815,6/1/2014
PABPC1,CCDC8,105088,107815,6/1/2014
DDX47,OBSL1,108374,108161,6/1/2014
SVIL,CCDC8,110885,107815,6/1/2014
MDM2,PSMD11,106304,104893,6/1/2014
PPAN,OBSL1,108669,108161,6/1/2014
RRP9,CUL7,115362,107170,6/1/2014
CCDC8,EIF2S1,107815,105854,6/1/2014
CUL7,DEK,107170,104318,6/1/2014
CUL7,PHGDH,107170,105158,6/1/2014
PRDX6,MDM2,101072,106304,6/1/2014
MDM2,RPL7,106304,104528,6/1/2014
COX6B1,MDM2,103432,106304,6/1/2014
CUL7,CPSF7,107170,112532,6/1/2014
CUL7,STOML2,107170,109619,6/1/2014
CUL7,EEF1B2,107170,108069,6/1/2014
RUVBL1,CUL7,111275,107170,6/1/2014
MDM2,MTHFD2,106304,101063,6/1/2014
ACTA1,CUL7,111566,107170,6/1/2014
CUL7,DDX1,107170,103911,6/1/2014
PUF60,OBSL1,104581,108161,6/1/2014
YTHDC2,CCDC8,112733,107815,6/1/2014
CCDC8,RANBP2,107815,108515,6/1/2014
HBA1; HBA2,CUL7,112594,107170,6/1/2014
CUL7,U2AF2,107170,103483,6/1/2014
FBL,CUL7,110725,107170,6/1/2014
STOML2,CCDC8,109619,107815,6/1/2014
MDM2,PDHB,106304,113201,6/1/2014
CCT5,OBSL1,114575,108161,6/1/2014
ITPR3,CCDC8,112352,107815,6/1/2014
CUL7,FLOT2,107170,104821,6/1/2014
CUL7,MYEF2,107170,109816,6/1/2014
MDM2,FH,106304,107221,6/1/2014
CCDC8,CCDC8,107815,107815,6/1/2014
GNL3,CUL7,116395,107170,6/1/2014
CUL7,DSP,107170,101411,6/1/2014
MDM2,FUBP3,106304,106984,6/1/2014
HNRNPA2B1,OBSL1,116341,108161,6/1/2014
CUL7,MYBBP1A,107170,100142,6/1/2014
MDM2,KRT18,106304,109192,6/1/2014
CUL7,DHX16,107170,104572,6/1/2014
WDR3,OBSL1,106300,108161,6/1/2014
TUBB4B,CUL7,106568,107170,6/1/2014
DDB1,OBSL1,108297,108161,6/1/2014
BECN1,PARK2,101004,109451,6/1/2014
CUL7,CAPZA1,107170,115160,6/1/2014
OBSL1,NUP155,108161,104819,6/1/2014
CCDC8,RPS2,107815,102724,6/1/2014
TMPO,OBSL1,110749,108161,6/1/2014
NAP1L1,CUL7,111525,107170,6/1/2014
YBX1,CCDC8,106757,107815,6/1/2014
CUL7,PLD3,107170,113876,6/1/2014
HSPE1,MDM2,110611,106304,6/1/2014
RPS3A,CUL7,103545,107170,6/1/2014
SRRT,CUL7,102263,107170,6/1/2014
TPM3,OBSL1,105691,108161,6/1/2014
DDX46,CUL7,109671,107170,6/1/2014
OBSL1,DDX46,108161,109671,6/1/2014
CCDC8,NEURL4,107815,108282,6/1/2014
ILF2,CUL7,101498,107170,6/1/2014
UTP6,OBSL1,105027,108161,6/1/2014
CUL7,U2AF1,107170,101303,6/1/2014
NUP35,OBSL1,111438,108161,6/1/2014
MDM2,GPD2,106304,114570,6/1/2014
FKBP4,MDM2,103803,106304,6/1/2014
OBSL1,WDR18,108161,109507,6/1/2014
MDM2,GPI,106304,109911,6/1/2014
OBSL1,RCC1,108161,107645,6/1/2014
ACTBL2,CUL7,114607,107170,6/1/2014
TAGLN2,MDM2,107433,106304,6/1/2014
PARP1,CUL7,113437,107170,6/1/2014
OBSL1,TOP1,108161,109181,6/1/2014
TOP2A,OBSL1,109182,108161,6/1/2014
MDM2,SRSF6,106304,104074,6/1/2014
HNRNPUL1,OBSL1,115131,108161,6/1/2014
CAV1,ATG12,113940,114884,6/1/2014
C1QBP,CUL7,115894,107170,6/1/2014
ENO1,OBSL1,102426,108161,6/1/2014
RBBP4,CUL7,106420,107170,6/1/2014
USP39,CUL7,106952,107170,6/1/2014
OBSL1,TRRAP,108161,103915,6/1/2014
NUP214,OBSL1,104319,108161,6/1/2014
CCDC8,CHD4,107815,108804,6/1/2014
SUN1,OBSL1,104200,108161,6/1/2014
OBSL1,RRP12,108161,108830,6/1/2014
FBL,OBSL1,110725,108161,6/1/2014
CHD4,CUL7,108804,107170,6/1/2014
EEF1G,OBSL1,104211,108161,6/1/2014
MACF1,CUL7,102128,107170,6/1/2014
DICER1,CCDC8,103514,107815,6/1/2014
HERC2,CCDC8,109206,107815,6/1/2014
CUL7,SEC23A,107170,101630,6/1/2014
OBSL1,NXF1,108161,111795,6/1/2014
RANBP2,CUL7,108515,107170,6/1/2014
PRPF4B,OBSL1,107042,108161,6/1/2014
SRSF1,MDM2,103718,106304,6/1/2014
OBSL1,NUP133,108161,105018,6/1/2014
CCDC8,SEC16A,107815,107911,6/1/2014
OBSL1,FASN,108161,114802,6/1/2014
CUL7,NOP58,107170,101923,6/1/2014
MDM2,CALR,106304,102746,6/1/2014
OBSL1,RUVBL2,108161,107631,6/1/2014
OBSL1,MDN1,108161,111354,6/1/2014
CUL7,ATP1A1,107170,104896,6/1/2014
PRKDC,CUL7,115196,107170,6/1/2014
CCDC8,RRAS2,107815,109057,6/1/2014
OBSL1,STOML2,108161,109619,6/1/2014
U2SURP,OBSL1,116509,108161,6/1/2014
OBSL1,MAP4K4,108161,115497,6/1/2014
MDM2,BAG6,106304,113717,6/1/2014
CCDC8,COPA,107815,114472,6/1/2014
MDM2,MRPS23,106304,113668,6/1/2014
CUL7,PUF60,107170,104581,6/1/2014
CUL7,MMAB,107170,104766,6/1/2014
MDM2,ALDOA,106304,116123,6/1/2014
RPS10,MDM2,106433,106304,6/1/2014
CUL7,TCOF1,107170,109463,6/1/2014
TBC1D15,CCDC8,100267,107815,6/1/2014
CUL7,HNRNPF,107170,107011,6/1/2014
OBSL1,HNRNPC,108161,107868,6/1/2014
PCBP2,CCDC8,110370,107815,6/1/2014
ANAPC7,CCDC8,101044,107815,6/1/2014
CUL7,CALD1,107170,108258,6/1/2014
RRS1,OBSL1,105709,108161,6/1/2014
NAT10,OBSL1,102686,108161,6/1/2014
ERP29,MDM2,101073,106304,6/1/2014
OBSL1,CCAR2,108161,112984,6/1/2014
MDM2,NME1,106304,110707,6/1/2014
RPL31,CTCF,111442,109641,6/1/2014
OBSL1,KIF14,108161,105702,6/1/2014
MDM2,NUP188,106304,114693,6/1/2014
SMARCA4,MDM2,108198,106304,6/1/2014
CHCHD3,MDM2,105352,106304,6/1/2014
RNPS1,CUL7,111813,107170,6/1/2014
CIZ1,OBSL1,111060,108161,6/1/2014
TMOD3,CCDC8,105631,107815,6/1/2014
CFL1,MDM2,111334,106304,6/1/2014
DDX21,CUL7,101618,107170,6/1/2014
ATP5F1,CUL7,115780,107170,6/1/2014
MDM2,HNRNPA3,106304,108356,6/1/2014
NDUFS1,MDM2,100369,106304,6/1/2014
KRT5,CCDC8,109653,107815,6/1/2014
OBSL1,YBX1,108161,106757,6/1/2014
TPR,MDM2,111809,106304,6/1/2014
MDM2,TRIM33,106304,102132,6/1/2014
OBSL1,MDH2,108161,106598,6/1/2014
MDM2,SFXN1,106304,113742,6/1/2014
CUL7,RALY,107170,106390,6/1/2014
CCDC8,RPL14,107815,116499,6/1/2014
OBSL1,RIF1,108161,115997,6/1/2014
ENO1,CCDC8,102426,107815,6/1/2014
CCDC8,GNB1,107815,105262,6/1/2014
OBSL1,UHRF1,108161,103553,6/1/2014
CCDC8,RPS3A,107815,103545,6/1/2014
OBSL1,SNRPD1,108161,105355,6/1/2014
CUL7,EPRS,107170,109418,6/1/2014
OBSL1,ILF3,108161,101497,6/1/2014
COIL,OBSL1,107918,108161,6/1/2014
TPBG,MDM2,100160,106304,6/1/2014
TRIP12,CCDC8,102623,107815,6/1/2014
TPR,CCDC8,111809,107815,6/1/2014
EIF5A,CUL7,101460,107170,6/1/2014
OBSL1,RRP15,108161,115383,6/1/2014
MDM2,ETFB,106304,101393,6/1/2014
CUL7,RPS14,107170,106796,6/1/2014
CUL7,HIST1H2BN,107170,103642,6/1/2014
USP39,CCDC8,106952,107815,6/1/2014
UBA6,CCDC8,114550,107815,6/1/2014
CCDC8,SYNCRIP,107815,116257,6/1/2014
OBSL1,URB1,108161,101965,6/1/2014
OBSL1,MYBBP1A,108161,100142,6/1/2014
MYEF2,OBSL1,109816,108161,6/1/2014
PARP1,CCDC8,113437,107815,6/1/2014
HNRNPA1,MDM2,115647,106304,6/1/2014
DDX21,CCDC8,101618,107815,6/1/2014
CCDC8,SNRPB2,107815,111910,6/1/2014
PDIA6,MDM2,108254,106304,6/1/2014
MDM2,IPO4,106304,102460,6/1/2014
RPL9; RPL9P7; RPL9P8; RPL9P9,CUL7,104976,107170,6/1/2014
PA2G4,CUL7,109505,107170,6/1/2014
OBSL1,MATR3,108161,103744,6/1/2014
CKMT1A; CKMT1B,MDM2,116522,106304,6/1/2014
CUL7,ZNF326,107170,101121,6/1/2014
OBSL1,TJP1,108161,109659,6/1/2014
CUL7,DYNC1H1,107170,101136,6/1/2014
DHX8,OBSL1,100083,108161,6/1/2014
CUL7,HDAC2,107170,114007,6/1/2014
